日期時間,自動氣象站,wind,wind,wind,pressure,temperature,humidity
202410161530,上水,,,,1012.7,31.7,55.0
202410161530,中環碼頭,東南,18.0,29.0,,,
202410161530,九龍城,,,,,28.0,74.0
202410161530,京士柏,東南,17.0,29.0,,27.8,75.0
202410161530,元朗公園,,,,,31.6,
202410161530,北潭涌,,,,,27.9,75.0
202410161530,北角,東,23.0,31.0,,,
202410161530,南丫島,東,17.0,28.0,,,
202410161530,啟德,東南,19.0,29.0,,,
202410161530,啟德跑道公園,,,,,28.2,72.0
202410161530,坪洲,東,23.0,28.0,1013.2,28.5,74.0
202410161530,塔門,東南,30.0,37.0,,,
202410161530,大埔,,,,1013.8,29.3,71.0
202410161530,大埔滘,東南,17.0,24.0,,,
202410161530,大帽山,,,,,21.4,
202410161530,大美督,東南,14.0,26.0,,27.9,
202410161530,大老山,東,28.0,37.0,,22.3,
202410161530,大隴,,,,,30.0,63.0
202410161530,天文台,,,,1013.3,28.7,72.0
202410161530,天星碼頭,東,23.0,32.0,,,
202410161530,將軍澳,東南,6.0,18.0,,28.3,74.0
202410161530,屯門,東南,22.0,33.0,,29.6,55.0
202410161530,山頂,,,,,25.0,
202410161530,打鼓嶺,東,8.0,15.0,1012.8,30.2,63.0
202410161530,昂坪,東南,32.0,47.0,,,
202410161530,橫瀾島,東,28.0,33.0,1013.3,27.1,79.0
202410161530,沙洲,東南,26.0,33.0,,,
202410161530,沙田,東南,12.0,20.0,1013.5,28.1,76.0
202410161530,流浮山,東南,13.0,23.0,1012.8,31.7,56.0
202410161530,深水埗,,,,,28.7,
202410161530,清水灣,,,,,26.8,80.0
202410161530,滘西洲,,,,,27.3,77.0
202410161530,濕地公園,東,7.0,15.0,1012.5,30.7,58.0
202410161530,石崗,東,14.0,22.0,1012.7,30.0,63.0
202410161530,筲箕灣,,,,,27.1,75.0
202410161530,荃灣可觀,,,,,28.1,
202410161530,荃灣城門谷,,,,,28.4,
202410161530,西貢,東南,14.0,21.0,,28.1,75.0
202410161530,觀塘,,,,,27.6,
202410161530,赤柱,東南,21.0,31.0,,27.5,
202410161530,赤鱲角,東南,26.0,33.0,1012.8,30.5,53.0
202410161530,跑馬地,,,,,28.7,
202410161530,長洲,東,28.0,37.0,1013.6,27.4,80.0
202410161530,長洲泳灘,東,29.0,37.0,,,
202410161530,青洲,東北,24.0,44.0,,,
202410161530,青衣,東南,10.0,19.0,,29.1,63.0
202410161530,香港公園,,,,,27.8,73.0
202410161530,香港航海學校,東,26.0,37.0,,,
202410161530,黃竹坑,東,10.0,21.0,,28.5,71.0
